LOC_ID,ANIMAL_ID,SO
16,1,5
118,2,37
88,3,38
33,4,27
34,4,28
34,4,31
79,5,15
56,6,22
34,7,34
75,8,14
73,8,14
71,9,16
52,9,16
47,9,26
68,9,34
68,10,27
69,10,32
41,10,33
68,10,33
68,10,34
10,11,6
9,11,6
7,11,8
56,12,22
55,12,22
58,13,16
56,13,19
71,14,16
83,15,33
83,16,26
58,17,19
59,17,22
72,18,22
68,19,27
95,20,28
92,20,28
91,20,28
42,21,13
52,21,24
111,22,13
108,22,45
59,23,22
82,24,29
24,24,29
15,25,1
5,25,3
11,26,2
26,27,10
26,28,10
26,29,10
26,30,10
13,31,12
38,31,30
73,32,16
73,32,20
111,33,16
76,33,23
71,34,24
71,35,24
110,36,41
90,37,43
88,38,48
71,39,24
105,40,46
15,41,2
54,42,17
64,43,48
18,44,7
