X_COORD,Y_COORD,HABITAT
611733.9597,1299580.547,1
612301.6023,1299582.622,1
612869.2458,1299584.707,0
613436.8901,1299586.804,0
614004.5352,1299588.91,0
614572.1812,1299591.027,0
615139.8282,1299593.155,0
615707.4759,1299595.293,0
616275.1246,1299597.442,1
616842.7742,1299599.601,0
617410.4246,1299601.771,1
617978.076,1299603.951,1
618545.7282,1299606.142,1
619113.3814,1299608.343,1
619681.0354,1299610.555,0
620248.6904,1299612.777,0
620816.3463,1299615.01,0
621384.0031,1299617.254,1
621951.6608,1299619.508,0
622519.3195,1299621.772,0
623086.9791,1299624.047,0
623654.6397,1299626.332,1
624222.3012,1299628.628,1
624789.9636,1299630.935,1
625357.627,1299633.252,1
625925.2913,1299635.58,1
626492.9567,1299637.918,1
627060.6229,1299640.266,1
627628.2902,1299642.625,1
628195.9584,1299644.995,0
628763.6276,1299647.375,0
629331.2978,1299649.766,0
629898.9689,1299652.167,0
630466.6411,1299654.579,0
631034.3142,1299657.001,0
631601.9884,1299659.434,0
632169.6635,1299661.877,1
632737.3397,1299664.331,0
633305.0169,1299666.795,0
633872.6951,1299669.27,1
634440.3743,1299671.756,0
635008.0545,1299674.252,0
635575.7358,1299676.758,0
636143.4182,1299679.275,0
608893.7419,1300137.962,0
609461.3697,1300139.985,1
610028.9984,1300142.019,0
610596.6279,1300144.063,0
611164.2583,1300146.118,0
611731.8895,1300148.184,0
612299.5216,1300150.26,0
612867.1545,1300152.346,1
613434.7883,1300154.443,0
614002.4229,1300156.55,0
614570.0584,1300158.669,0
615137.6948,1300160.797,0
615705.3321,1300162.936,1
616272.9702,1300165.086,0
616840.6092,1300167.246,1
617408.2492,1300169.416,1
617975.89,1300171.598,0
618543.5317,1300173.789,0
619111.1743,1300175.992,0
619678.8179,1300178.204,0
620246.4623,1300180.428,0
620814.1077,1300182.661,1
621381.754,1300184.906,1
621949.4012,1300187.16,1
622517.0493,1300189.426,0
623084.6984,1300191.702,0
623652.3485,1300193.988,1
624219.9994,1300196.285,1
624787.6514,1300198.593,1
625355.3042,1300200.911,1
625922.958,1300203.239,0
626490.6128,1300205.578,1
627058.2686,1300207.928,1
627625.9253,1300210.288,1
628193.583,1300212.658,1
628761.2417,1300215.04,0
629328.9013,1300217.431,0
629896.5619,1300219.833,0
630464.2236,1300222.246,0
631031.8862,1300224.669,0
631599.5498,1300227.103,0
632167.2145,1300229.548,0
632734.8801,1300232.002,0
633302.5468,1300234.468,0
633870.2144,1300236.944,1
634437.8831,1300239.43,1
635005.5528,1300241.927,0
635573.2236,1300244.435,1
636140.8954,1300246.953,1
636708.5682,1300249.481,1
637276.2421,1300252.02,0
637843.917,1300254.57,1
638411.593,1300257.13,1
638979.27,1300259.701,1
607756.4913,1300701.567,0
608324.107,1300703.57,0
608891.7234,1300705.584,1
609459.3407,1300707.608,1
610026.9589,1300709.643,0
610594.5779,1300711.688,0
611162.1977,1300713.744,1
611729.8184,1300715.81,1
612297.4399,1300717.887,0
612865.0623,1300719.974,0
613432.6856,1300722.072,0
614000.3097,1300724.18,0
614567.9347,1300726.299,0
615135.5605,1300728.429,0
615703.1873,1300730.569,1
616270.8149,1300732.719,0
616838.4434,1300734.88,0
617406.0728,1300737.052,1
617973.7031,1300739.234,1
618541.3343,1300741.426,0
619108.9664,1300743.629,0
619676.5994,1300745.843,0
620244.2333,1300748.067,0
620811.8682,1300750.302,1
621379.5039,1300752.547,1
621947.1406,1300754.803,1
622514.7782,1300757.069,1
623082.4168,1300759.346,0
623650.0563,1300761.633,1
624217.6968,1300763.931,1
624785.3381,1300766.24,0
625352.9805,1300768.559,0
625920.6238,1300770.888,1
626488.268,1300773.228,1
627055.9133,1300775.579,1
627623.5594,1300777.94,0
628191.2066,1300780.311,0
628758.8547,1300782.694,1
629326.5039,1300785.086,0
629894.154,1300787.489,0
630461.8051,1300789.903,0
631029.4572,1300792.327,0
631597.1103,1300794.762,0
632164.7644,1300797.207,1
632732.4195,1300799.663,1
633300.0756,1300802.13,1
633867.7328,1300804.607,1
634435.3909,1300807.094,1
635003.0501,1300809.592,1
635570.7104,1300812.101,1
636138.3716,1300814.62,1
636706.0339,1300817.149,1
637273.6972,1300819.689,0
637841.3616,1300822.24,0
638409.0271,1300824.801,1
638976.6935,1300827.373,1
639544.3611,1300829.955,1
640112.0297,1300832.548,1
606619.2853,1301265.201,0
607186.8888,1301267.184,0
607754.4931,1301269.177,1
608322.0982,1301271.181,0
608889.7041,1301273.196,0
609457.3109,1301275.221,0
610024.9185,1301277.256,0
610592.527,1301279.302,0
611160.1363,1301281.359,0
611727.7465,1301283.426,1
612295.3575,1301285.503,0
612862.9693,1301287.592,0
613430.5821,1301289.69,1
613998.1956,1301291.8,0
614565.8101,1301293.919,1
615133.4254,1301296.05,0
615701.0416,1301298.19,0
616268.6587,1301300.342,1
616836.2767,1301302.504,1
617403.8956,1301304.676,1
617971.5153,1301306.859,1
618539.136,1301309.053,1
619106.7576,1301311.257,1
619674.38,1301313.471,0
620242.0034,1301315.696,1
620809.6277,1301317.932,1
621377.253,1301320.178,1
621944.8791,1301322.435,1
622512.5062,1301324.702,1
623080.1342,1301326.98,1
623647.7632,1301329.268,1
624215.3931,1301331.567,1
624783.024,1301333.876,0
625350.6558,1301336.196,0
625918.2886,1301338.527,0
626485.9223,1301340.868,1
627053.557,1301343.219,0
627621.1926,1301345.581,0
628188.8292,1301347.954,0
628756.4669,1301350.337,0
629324.1054,1301352.731,0
629891.745,1301355.135,0
630459.3856,1301357.549,0
631027.0272,1301359.975,0
631594.6697,1301362.41,0
632162.3133,1301364.857,0
632729.9579,1301367.314,1
633297.6035,1301369.781,1
633865.2501,1301372.259,1
634432.8977,1301374.747,1
635000.5463,1301377.246,1
635568.1961,1301379.756,1
636135.8468,1301382.276,1
636703.4985,1301384.807,1
637271.1513,1301387.348,0
637838.8052,1301389.9,0
638406.4601,1301392.462,0
638974.116,1301395.035,0
639541.7731,1301397.618,1
640109.4311,1301400.212,1
640677.0903,1301402.816,1
641244.7505,1301405.431,1
606049.7152,1301830.826,0
606617.3073,1301832.799,0
607184.9003,1301834.783,0
607752.494,1301836.777,0
608320.0886,1301838.782,0
608887.684,1301840.797,1
609455.2803,1301842.823,0
610022.8774,1301844.859,0
610590.4753,1301846.906,0
611158.074,1301848.963,0
611725.6737,1301851.031,1
612293.2742,1301853.11,0
612860.8755,1301855.199,0
613428.4777,1301857.298,1
613996.0807,1301859.408,0
614563.6846,1301861.529,1
615131.2894,1301863.66,1
615698.8951,1301865.802,0
616266.5016,1301867.954,0
616834.1091,1301870.117,1
617401.7174,1301872.29,1
617969.3267,1301874.474,0
618536.9368,1301876.668,0
619104.5478,1301878.873,1
619672.1598,1301881.089,1
620239.7726,1301883.315,1
620807.3864,1301885.551,1
621375.0011,1301887.799,1
621942.6167,1301890.056,1
622510.2332,1301892.324,0
623077.8507,1301894.603,1
623645.4692,1301896.892,1
624213.0886,1301899.192,1
624780.7089,1301901.502,0
625348.3301,1301903.823,0
625915.9524,1301906.155,0
626483.5755,1301908.497,0
627051.1997,1301910.849,0
627618.8248,1301913.212,0
628186.4509,1301915.586,0
628754.078,1301917.97,0
629321.706,1301920.364,0
629889.3351,1301922.77,0
630456.9651,1301925.185,0
631024.5961,1301927.611,0
631592.2282,1301930.048,0
632159.8612,1301932.496,1
632727.4952,1301934.953,1
633295.1303,1301937.422,0
633862.7663,1301939.901,0
634430.4034,1301942.39,1
634998.0416,1301944.89,1
635565.6807,1301947.401,1
636133.3209,1301949.922,1
636700.9621,1301952.454,1
637268.6044,1301954.996,1
637836.2477,1301957.549,1
638403.8921,1301960.112,1
638971.5375,1301962.686,1
639539.184,1301965.27,1
640106.8315,1301967.865,1
640674.4801,1301970.47,1
641242.1298,1301973.086,1
641809.7806,1301975.713,1
604912.5861,1302394.496,1
605480.1661,1302396.449,0
606047.7469,1302398.412,0
606615.3285,1302400.386,0
607182.9109,1302402.371,0
607750.4941,1302404.366,1
608318.0782,1302406.371,0
608885.6631,1302408.387,0
609453.2488,1302410.414,0
610020.8353,1302412.451,0
610588.4227,1302414.499,0
611156.0109,1302416.557,1
611723.6,1302418.626,1
612291.19,1302420.705,0
612858.7808,1302422.795,0
613426.3724,1302424.896,1
613993.9649,1302427.007,1
614561.5583,1302429.128,1
615129.1525,1302431.26,0
